title,genre,episodes,score,img_url
Haikyuu!! Second Season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",25.0,8.82,https://cdn.myanimelist.net/images/anime/9/76662.jpg
Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",22.0,8.83,https://cdn.myanimelist.net/images/anime/3/67177.jpg
Made in Abyss,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",13.0,8.83,https://cdn.myanimelist.net/images/anime/6/86733.jpg
Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']",64.0,9.23,https://cdn.myanimelist.net/images/anime/1223/96541.jpg
Kizumonogatari III: Reiketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",1.0,8.83,https://cdn.myanimelist.net/images/anime/3/81576.jpg
Mob Psycho 100 II,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",13.0,8.89,https://cdn.myanimelist.net/images/anime/1918/96303.jpg
Sen to Chihiro no Kamikakushi,"['Adventure', 'Supernatural', 'Drama']",1.0,8.9,https://cdn.myanimelist.net/images/anime/6/79597.jpg
Kimetsu no Yaiba,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']",26.0,8.92,https://cdn.myanimelist.net/images/anime/1286/99889.jpg
Owarimonogatari 2nd Season,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",7.0,8.93,https://cdn.myanimelist.net/images/anime/6/87322.jpg
Code Geass: Hangyaku no Lelouch R2,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']",25.0,8.93,https://cdn.myanimelist.net/images/anime/4/9391.jpg
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",10.0,8.94,https://cdn.myanimelist.net/images/anime/7/81992.jpg
Gintama.,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",12.0,8.94,https://cdn.myanimelist.net/images/anime/3/83528.jpg
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",1.0,8.95,https://cdn.myanimelist.net/images/anime/10/51723.jpg
Gintama,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",201.0,8.97,https://cdn.myanimelist.net/images/anime/10/73274.jpg
Clannad: After Story,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']",24.0,8.97,https://cdn.myanimelist.net/images/anime/13/24647.jpg
Gintama': Enchousen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",13.0,8.98,https://cdn.myanimelist.net/images/anime/6/75172.jpg
One Punch Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']",12.0,8.68,https://cdn.myanimelist.net/images/anime/12/76049.jpg
Kaguya-hime no Monogatari,"['Fantasy', 'Historical']",1.0,8.28,https://cdn.myanimelist.net/images/anime/1935/93606.jpg
Koukaku Kidoutai 2.0,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",1.0,8.06,https://cdn.myanimelist.net/images/anime/3/75608.jpg
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,"['Comedy', 'Josei', 'Music', 'Romance']",1.0,7.88,https://cdn.myanimelist.net/images/anime/8/19590.jpg
Saraiya Goyou,"['Mystery', 'Historical', 'Drama', 'Samurai', 'Seinen']",12.0,7.86,https://cdn.myanimelist.net/images/anime/4/75203.jpg
Saint Seiya: Meiou Hades Meikai-hen,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']",12.0,7.86,https://cdn.myanimelist.net/images/anime/12/75732.jpg
Noragami OVA,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",2.0,7.86,https://cdn.myanimelist.net/images/anime/7/77177.jpg
Lupin III: Part II,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']",155.0,7.86,https://cdn.myanimelist.net/images/anime/7/34035.jpg
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai","['Slice of Life', 'Comedy', 'Fantasy']",1.0,7.86,https://cdn.myanimelist.net/images/anime/5/88486.jpg
Kuroko no Basket 2nd Season NG-shuu,"['Comedy', 'Sports']",9.0,7.86,https://cdn.myanimelist.net/images/anime/13/59027.jpg
K-On!: Live House!,"['Comedy', 'Music', 'School', 'Slice of Life']",1.0,7.86,https://cdn.myanimelist.net/images/anime/9/15892.jpg
K-On!,"['Slice of Life', 'Comedy', 'Music', 'School']",13.0,7.86,https://cdn.myanimelist.net/images/anime/10/76120.jpg
InuYasha Movie 3: Tenka Hadou no Ken,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",1.0,7.86,https://cdn.myanimelist.net/images/anime/1658/95332.jpg
